"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1VAMN0009","2009-04-10","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-11","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   84",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-12","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-13","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-14","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    5",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-15","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   56",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-16","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-17","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-18","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-19","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-20","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  231",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-21","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   13",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-22","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    8",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-23","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-04-24","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-25","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-26","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-27","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-28","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-04-29","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-03","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   46",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-04","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  122",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-05","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   36",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-06","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   33",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-07","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  295",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-08","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   13",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-09","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  305",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-10","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    5",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-11","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   33",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-12","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   30",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-13","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-14","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-15","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  150",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-16","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-17","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  168",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-18","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-19","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-20","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-21","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-22","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-23","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-05-24","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-25","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-26","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  201",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-27","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  196",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-28","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  198",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-29","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  203",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-30","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   28",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-05-31","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   91",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-01","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-02","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-03","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-04","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-05","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  399",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-06","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   41",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-07","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-08","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-09","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-10","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-11","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   61",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-12","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  124",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-13","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-15","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-16","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   64",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-17","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  251",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-18","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   13",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-19","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-20","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-21","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   13",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-22","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-23","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-24","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-25","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-26","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-27","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-28","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-06-29","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   18",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-06-30","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-01","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-02","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-03","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-05","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    8",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-06","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  124",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-07","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-08","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-09","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-10","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   38",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-11","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   79",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-12","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  107",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-13","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-15","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-16","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   58",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-17","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  107",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-18","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  145",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-19","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-20","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   74",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-21","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   56",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-22","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-23","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    5",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-24","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-25","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-07-26","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   18",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-27","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  173",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-28","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   10",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-29","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    5",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-30","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  155",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-07-31","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   13",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-01","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   99",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-02","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   51",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-03","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  157",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-04","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-05","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-06","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  239",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-07","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-09","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-10","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-11","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   15",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-12","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  150",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-13","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    8",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-14","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  109",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-15","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-16","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-17","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-18","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   10",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-19","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-20","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   20",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-21","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   30",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-22","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-23","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  122",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-24","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   13",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-25","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-26","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-27","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-28","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-29","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0","T,,N",,,,,,,,,,,,
"US1VAMN0009","2009-08-30","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-08-31","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-01","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-02","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-04","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-05","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-06","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-07","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   41",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-09-08","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-09","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","   28",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-09-10","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","  224",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-09-11","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-12","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-14","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-16","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-18","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    5",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-09-19","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-20","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    8",",,N",,,,,,,,,,,,
"US1VAMN0009","2009-09-21","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    0",",,N","    0",",,N",,,,,,,,,,
"US1VAMN0009","2009-09-22","37.224713","-80.518728","575.5","BLACKSBURG 5.0 W, VA US","    5",",,N",,,,,,,,,,,,
